Image,Actual,Predicted
ctr001.jpg,abimanyu,abimanyu
ctr042.jpg,abimanyu,abimanyu
ctr031.jpg,abimanyu,abimanyu
ctr001.jpg,abimanyu,abimanyu
ctr025.jpg,abimanyu,abimanyu
ctr031.jpg,abimanyu,abimanyu
ctr020.jpg,abimanyu,abimanyu
ctr026.jpg,abimanyu,abimanyu
ctr025.jpg,abimanyu,abimanyu
ctr001.jpg,abimanyu,abimanyu
arjuna5 - Copy (2) - Copy.jpg,arjuna,arjuna
arjuna50 - Copy - Copy.jpg,arjuna,arjuna
arjuna42 - Copy (2).jpg,arjuna,arjuna
arjuna42 - Copy (2).jpg,arjuna,arjuna
arjuna4 - Copy.jpg,arjuna,arjuna
arjuna50 - Copy - Copy.jpg,arjuna,arjuna
arjuna42 - Copy (2).jpg,arjuna,arjuna
arjuna42 - Copy.jpg,arjuna,arjuna
arjuna29.jpg,arjuna,arjuna
arjuna29.jpg,arjuna,arjuna
citra043.jpg,baladewa,baladewa
baladewa017.jpg,baladewa,baladewa
citra021.jpg,baladewa,baladewa
ctr018.jpg,baladewa,durna
baladewa017.jpg,baladewa,baladewa
citra048.jpg,baladewa,baladewa
citra017.jpg,baladewa,baladewa
citra017.jpg,baladewa,baladewa
citra024.jpg,baladewa,baladewa
ctr004.jpg,baladewa,baladewa
IMG_3949.JPG,bima,bima
IMG_3930.JPG,bima,bima
IMG_3949.JPG,bima,bima
IMG_3930.JPG,bima,bima
IMG_3930.JPG,bima,bima
IMG_3949.JPG,bima,bima
IMG_3949.JPG,bima,bima
IMG_3923.JPG,bima,bima
IMG_3930.JPG,bima,bima
IMG_3902.JPG,bima,bima
gbr029.jpg,durna,durna
img002.jpg,durna,durna
gbr029.jpg,durna,durna
ctr020.jpg,durna,durna
ctr088.jpg,durna,durna
gbr030.jpg,durna,dursasana
ctr020.jpg,durna,durna
gbr036.jpg,durna,durna
ctr020.jpg,durna,durna
ctr020.jpg,durna,durna
ctr057.jpg,dursasana,dursasana
ctr006.jpg,dursasana,dursasana
ctr013.jpg,dursasana,dursasana
ctr043.jpg,dursasana,dursasana
ctr043.jpg,dursasana,dursasana
citra021.jpg,dursasana,dursasana
ctr013.jpg,dursasana,dursasana
ctr038.jpg,dursasana,duryadana
ctr006.jpg,dursasana,dursasana
ctr010.jpg,dursasana,dursasana
ctr055.jpg,duryadana,duryadana
ctr052.jpg,duryadana,duryadana
ctr035.jpg,duryadana,duryadana
ctr041.jpg,duryadana,duryadana
ctr041.jpg,duryadana,duryadana
citra021.jpg,duryadana,duryadana
ctr052.jpg,duryadana,duryadana
ctr041.jpg,duryadana,duryadana
ctr008.jpg,duryadana,duryadana
ctr035.jpg,duryadana,duryadana
nakula31 - Copy (3).jpg,nakula,nakula
nakula8 - Copy (3).jpg,nakula,nakula
nakula16 - Copy (2).jpg,nakula,nakula
nakula31 - Copy.jpg,nakula,nakula
nakula26 - Copy.jpg,nakula,nakula
nakula16 - Copy (2).jpg,nakula,nakula
nakula16 - Copy (2).jpg,nakula,nakula
nakula32.jpg,nakula,nakula
nakula16 - Copy (2).jpg,nakula,nakula
nakula16 - Copy (2).jpg,nakula,nakula
sadewa19 - Copy.jpg,sadewa,sadewa
sadewa8 - Copy.jpg,sadewa,sadewa
sadewa19 - Copy.jpg,sadewa,sadewa
sadewa5 - Copy (2).jpg,sadewa,sadewa
sadewa5 - Copy (2).jpg,sadewa,sadewa
sadewa5 - Copy.jpg,sadewa,sadewa
sadewa8 - Copy.jpg,sadewa,sadewa
sadewa13 - Copy (2).jpg,sadewa,sadewa
sadewa4 - Copy (3).jpg,sadewa,sadewa
sadewa13 - Copy (2).jpg,sadewa,sadewa
yudishtira3.jpg,yudistira,yudistira
yudishtira7 - Copy.jpg,yudistira,yudistira
yudishtira16 - Copy (3).jpg,yudistira,yudistira
yudishtira3 - Copy (3).jpg,yudistira,yudistira
yudishtira3 - Copy (3).jpg,yudistira,yudistira
yudishtira4.jpg,yudistira,yudistira
yudishtira13 - Copy (2).jpg,yudistira,yudistira
yudishtira18 - Copy (2) - Copy.jpg,yudistira,yudistira
yudishtira3 - Copy (3).jpg,yudistira,yudistira
yudishtira3.jpg,yudistira,yudistira
